"crowdflower_id","trusted_answers","last_answer_at","class","class_confidence","ground_truth_class","comments","account_type","dataset","twitter_user_id","twitter_screen_name"
"911068393","3","2016-03-22 10:43:29","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","678033","heathr"
"911068394","3","2016-03-22 10:44:32","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","806975","mrinaldesai"
"911068395","3","2016-03-22 10:45:36","spambot","0.6787","genuine",,"genuine accounts","genuine accounts","887281","Payo"
"911068396","3","2016-03-22 10:42:47","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1382561","jojoko"
"911068397","3","2016-03-22 11:11:12","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","1813221","Poormojo"
"911068398","3","2016-03-22 10:41:05","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","3888491","LinusEkenstam"
"911068399","3","2016-03-22 10:55:35","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","4121091","jmay11"
"911068400","3","2016-03-22 10:45:36","spambot","0.6787","genuine",,"genuine accounts","genuine accounts","5856182","fryan"
"911068401","3","2016-03-22 10:44:43","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","7004532","hamsterwatch"
"911068402","3","2016-03-22 10:45:37","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","8548002","ochaser"
"911068403","3","2016-03-22 10:41:52","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","9272142","DWCook"
"911068404","3","2016-03-22 10:42:47","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","10866252","kannibal"
"911068405","3","2016-03-22 10:44:08","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","11086752","edowoo"
"911068406","3","2016-03-22 10:39:33","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","11174562","ditorelo"
"911068407","3","2016-04-04 11:24:52","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","11690822","arhemant"
"911068408","3","2016-03-22 10:47:14","unable","0.6680","genuine","Protected
Tweets are protected","genuine accounts","genuine accounts","12623352","marlas"
"911068409","3","2016-04-04 11:25:29","unable","1.0000","genuine","No tweets showing
No tweets
XinJeisan hasn't tweeted yet.","genuine accounts","genuine accounts","12922462","XinJeisan"
"911068410","3","2016-03-22 10:47:14","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","13126372","mattgillard"
"911068411","3","2016-03-22 10:39:33","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","14196068","javachik"
"911068412","3","2016-03-22 11:06:49","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","14235705","LonelyBob"
"911068413","3","2016-04-04 11:42:32","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","14290542","pastayu"
"911068414","3","2016-04-04 11:26:54","spambot","0.6212","genuine",,"genuine accounts","genuine accounts","14418605","akiraoltar"
"911068415","3","2016-03-22 11:11:12","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","14443013","williambanzai7"
"911068416","3","2016-03-22 10:45:37","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","14522589","crd"
"911068417","3","2016-03-22 10:45:36","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","14739109","amscraig"
"911068418","3","2016-03-22 10:44:39","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","14791386","MichaelSeger"
"911068419","3","2016-03-22 11:06:49","genuine","0.6462","genuine",,"genuine accounts","genuine accounts","14980820","nbcwashington"
"911068420","3","2016-03-22 10:44:43","spambot","0.6512","spambot",,"traditional spambots","traditional spambots #3","15006539","OfficialCodeh"
"911068421","3","2016-03-22 10:41:52","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","15046379","pybaubry"
"911068422","3","2016-03-22 10:55:35","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","15224719","Filmdrunk"
"911068423","3","2016-03-22 10:41:52","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","15321243","RozWolfPR"
"911068424","3","2016-03-22 10:41:14","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","15448383","inquirerdotnet"
"911068425","3","2016-03-22 10:46:37","spambot","1.0000","spambot",,"traditional spambots","traditional spambots #3","15488734","mjrmjr"
"911068426","3","2016-03-22 10:47:14","genuine","0.6680","genuine",,"genuine accounts","genuine accounts","15682749","rosross_nz"
"911068427","3","2016-03-22 10:45:54","genuine","0.6269","genuine",,"genuine accounts","genuine accounts","15809964","amyurbach"
"911068428","3","2016-03-22 10:43:29","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","15914878","samjamez"
"911068429","3","2016-04-04 11:41:19","spambot","0.6900","spambot",,"traditional spambots","traditional spambots #3","15947185","TweetSmarter"
"911068430","3","2016-03-22 10:44:08","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","16109017","momwifepreneur"
"911068431","3","2016-03-22 10:48:36","genuine","0.6869","genuine",,"genuine accounts","genuine accounts","16142914","mistytewest"
"911068432","3","2016-03-22 10:44:39","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","16180264","cindyloughridge"
"911068433","3","2016-03-22 10:41:05","genuine","0.6641","spambot",,"social spambots","social spambots #3","16282004","eckates"
"911068434","3","2016-03-22 10:44:39","genuine","0.6825","genuine","protected tweets","genuine accounts","genuine accounts","16408909","itskendall"
"911068435","3","2016-03-22 10:41:52","spambot","0.6462","genuine",,"genuine accounts","genuine accounts","16459227","anonemoose"
"911068436","3","2016-03-22 10:42:47","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","16468451","remino"
"911068437","3","2016-03-22 10:39:33","genuine","0.6866","genuine",,"genuine accounts","genuine accounts","16484437","ChaosSmurf"
"911068438","3","2016-03-22 10:44:32","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","16527716","jenjoliver"
"911068439","3","2016-03-22 10:44:37","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","16644246","sonjanz"
"911068440","3","2016-03-22 11:06:49","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","16649872","melboone"
"911068441","3","2016-03-22 11:11:12","genuine","1.0000","spambot",,"social spambots","social spambots #3","16740486","genebailey"
"911068442","3","2016-03-22 10:48:36","spambot","0.6869","genuine",,"genuine accounts","genuine accounts","16957615","ShelleyWebbRN"
"911068443","3","2016-03-22 10:41:52","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17050665","thesamreynolds"
"911068444","3","2016-03-22 10:55:35","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17127177","MishMatheus"
"911068445","3","2016-03-22 10:41:52","genuine","0.6561","spambot",,"social spambots","social spambots #3","17132768","patrickghoward"
"911068446","3","2016-03-22 10:41:52","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17284137","five15design"
"911068447","3","2016-03-22 10:46:16","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17332562","krazywane"
"911068448","3","2016-03-22 10:45:54","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17372254","shchen"
"911068449","3","2016-03-22 10:43:29","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17520304","ICTBiz_BRoy"
"911068450","3","2016-03-22 10:44:37","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17557537","jmollins"
"911068451","3","2016-03-22 10:39:33","genuine","0.6866","genuine",,"genuine accounts","genuine accounts","17608721","marf_14"
"911068452","3","2016-03-22 10:41:14","genuine","0.6812","genuine",,"genuine accounts","genuine accounts","17671779","meenabhatia"
"911068453","3","2016-03-22 10:55:35","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17718315","mhcampacbs"
"911068454","3","2016-04-04 11:42:26","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17748368","ska_todd"
"911068455","3","2016-03-22 11:06:49","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17801629","BoloBoffin"
"911068456","3","2016-03-22 10:46:37","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17889654","ShannonCurtis"
"911068457","3","2016-04-04 11:41:12","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","17949945","megsapatsfan12"
"911068458","3","2016-03-22 10:44:08","spambot","0.6729","spambot",,"social spambots","social spambots #3","18013384","DoggieCakes"
"911068459","3","2016-03-22 10:45:37","genuine","0.6618","genuine",,"genuine accounts","genuine accounts","18046941","SimonLong_"
"911068460","3","2016-03-22 10:45:54","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","18273041","caitlenthecat"
"911068461","3","2016-03-22 10:44:39","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","18378944","christinanelson"
"911068462","3","2016-03-22 10:46:16","genuine","0.6324","genuine",,"genuine accounts","genuine accounts","18441380","TreeBeerd"
"911068463","3","2016-03-22 10:45:36","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","18463828","MaximVos"
"911068464","3","2016-03-22 10:46:16","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","18510639","Jersey_kayak"
"911068465","3","2016-03-22 10:48:36","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","18917949","lilalahood"
"911068466","3","2016-03-22 11:11:12","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","18989002","CBS6Albany"
"911068467","3","2016-03-22 10:44:37","genuine","1.0000","genuine",,"genuine accounts","genuine accounts","19254862","drinkingupnyc"
