"contributor_id","external_id","answers_count","gold_count","missed_gold_count","channel","contributor_country","contributor_city","contributor_last_ip","trust_overall","submission_rate"
"6333857","3202621","10","6","0","clixsense","UKR","Zaporozhye","134.249.29.158","1.0000","300"
"6345217","3574085","30","10","1","clixsense","BRA","Florianópolis","179.216.179.81","0.9000","300"
"6354213","3891535","70","18","3","clixsense","ESP","Alzira","5.224.24.114","0.8333","323"
"6407560","3868499","25","9","1","clixsense","ARE","Dubai","91.73.14.110","0.8889","300"
"6420707","2769581","100","25","4","clixsense","BGR",,"87.246.0.66","0.8400","333"
"7198946","3163380","10","6","0","clixsense","BGR","Haskovo","89.215.152.229","1.0000","300"
"7690577","4095656","60","16","1","clixsense","PHL","Caloocan City","49.148.136.123","0.9375","300"
"8057247","4128798","25","9","0","clixsense","PRT","Póvoa De Varzim","37.189.142.141","1.0000","300"
"9232361","3433530","75","19","2","clixsense","BRA",,"179.116.116.93","0.8947","300"
"9509334","2691342","100","25","3","clixsense","BIH","Sarajevo","188.127.121.195","0.8800","300"
"11028920","BEFDF6804F4FC2922BFA95FAD8D0CB36","25","9","1","neodev","EGY",,"41.68.221.146","0.8889","300"
"11057995","E5218BC7A42D557A2BFA95FAD8D0CB36","100","25","3","neodev","PRT",,"5.43.21.221","0.8800","50"
"11060734","D2D987E100A8325A0FA9E28369487118","30","10","0","neodev","BGD","Dhaka","103.4.147.18","1.0000","300"
"11066121","466C90295214BB1D0FA9E28369487118","100","22","2","neodev","PRT","Lisbon","195.245.179.94","0.9091","30"
"12216479","AA35133085E8653C41A29D4352C72707","100","25","2","neodev","PRT","Esposende","144.64.59.201","0.9200","300"
"14643012","4897356","40","12","3","clixsense","PRT","Lisbon","89.180.145.9","0.7500","300"
"15596530","E4B69383C078B4C90DD4E15F98F7C799","10","6","0","neodev","RUS",,"5.3.187.213","1.0000","300"
"17344797","BC38D729DFCE989541A29D4352C72707","100","25","6","neodev","DZA","Batna","41.111.98.203","0.7600","300"
"17949577","2272945","30","10","0","clixsense","SAU","Riyadh","77.240.87.73","1.0000","300"
"18288328","5431224","25","7","2","clixsense","PHL","Pasig City","121.54.44.91","0.7143","10"
"18840258","5516831","100","25","5","clixsense","IDN",,"114.125.10.156","0.8000","300"
"18876659","A1FE9A2959B26D1324750D543524A854","100","22","4","neodev","IDN","Sidoarjo","114.79.29.128","0.8182","40"
"19376751","90038","15","7","0","tremorgames","RUS","Usol'ye-sibirskoye","81.163.99.165","1.0000","300"
"19432037","3700502","100","25","2","clixsense","ITA","Turin","151.32.74.149","0.9200","316"
"19629221","5634172","100","25","5","clixsense","IND","Gangavati","117.239.139.113","0.8000","35"
"19953423","117615","100","25","1","tremorgames","IDN","Jakarta","118.136.23.33","0.9600","300"
"20039972","133D1FC17F31FAA4BD9CE4BD64DFB8C1","100","25","5","neodev","BIH","Mostar","95.156.143.223","0.8000","300"
"20045399","EBC697E0C211669F6964A2442E880D82","100","24","3","neodev","GBR","Solihull","82.36.156.249","0.8750","20"
"21172444","5895103","45","13","1","clixsense","BGR",,"212.21.148.61","0.9231","300"
"21269635","catchjubjub","100","25","1","instagc","GBR","Wolverhampton","2.97.71.202","0.9600","300"
"21408115","5934406","20","8","1","clixsense","IDN","Semarang","36.79.6.165","0.8750","30"
"21428917","5938448","15","7","2","clixsense","AUT","Vienna","88.117.73.57","0.7143","300"
"21456214","137B0839EFBC0407044935D48A84480F","100","25","4","neodev","SRB","Belgrade","77.46.200.240","0.8400","400"
"21459945","5943745","55","15","1","clixsense","MYS",,"115.164.212.181","0.9333","300"
"22204662","285157","10","6","1","tremorgames","FRA","Aveluy","92.142.109.14","0.8333","300"
"22429869","5087E7B77DA2C8CF6964A2442E880D82","100","25","3","neodev","SRB","Belgrade","109.92.158.112","0.8800","350"
"23188187","6165172","60","16","0","clixsense","HRV","Zagreb","94.253.171.226","1.0000","300"
"24039979","6209889","40","12","1","clixsense","RUS","Zlatoust","109.191.1.147","0.9167","40"
"25368258","6301546","100","25","6","clixsense","ESP","Santa Marta De Tormes","88.3.172.148","0.7600","300"
"25756390","2F414B85D984620F6964A2442E880D82","100","25","5","neodev","IND","Bharuch","116.203.103.140","0.8000","300"
"26312996","6364738","40","12","2","clixsense","IDN","Bandung","36.80.83.60","0.8333","300"
"26325774","6365876","100","25","2","clixsense","ESP","Alicante","84.120.162.36","0.9200","300"
"26858370","6404436","75","19","1","clixsense","FRA","Taverny","89.80.197.122","0.9474","321"
"27248043","6432966","100","25","2","clixsense","PRT",,"213.30.68.70","0.9200","315"
"27254741","6822","65","16","2","elite","MYS","Seri Kembangan","180.74.62.13","0.8750","30"
"27696094","8595","100","25","3","elite","VEN","Guarenas","190.72.195.3","0.8800","300"
"27790533","EA43CD70F276ACEB6964A2442E880D82","100","22","3","neodev","IND","Bangalore","106.206.132.19","0.8636","50"
"27957115","6497187","70","18","2","clixsense","POL","Warsaw","37.47.47.168","0.8889","300"
"27966005","10474","100","25","2","elite","IND","Hyderabad","49.206.202.5","0.9200","300"
"28333322","12C548087AF9CE5D0FA9E28369487118","35","11","3","neodev","IDN","Bulupitu","114.79.28.152","0.7273","18"
"28351359","6552627","55","15","3","clixsense","GBR","Dunstable","86.176.188.44","0.8000","300"
"28375885","A371173AF7A08CC893CA06397A287A80","100","23","2","neodev","ESP","Torrelavega","92.57.58.253","0.9130","45"
"28535762","A8C166BD8BD704992BFA95FAD8D0CB36","15","7","1","neodev","SRB","Nis","92.60.227.189","0.8571","300"
"29166275","6665942","24","9","1","clixsense","BIH","Sarajevo","146.255.132.59","0.8889","300"
"29272243","23111","100","25","3","elite","VNM","Hanoi","116.107.114.104","0.8800","300"
"29454527","5B783094F6AC936DBD9CE4BD64DFB8C1","100","25","3","neodev","SRB","Savski Venac","109.122.122.23","0.8800","316"
"29614805","Y","45","13","1","getpaid","ESP","Málaga","149.91.117.195","0.9231","300"
"29807478","6773475","50","14","1","clixsense","VEN","Upata","181.225.32.36","0.9286","45"
"29829226","30357","100","25","6","elite","IDN",,"114.125.175.151","0.7600","48"
"29879245","5C424B68B3673F706964A2442E880D82","100","25","3","neodev","RUS","Smolensk","92.241.97.50","0.8800","300"
"29881713","5854937","100","25","2","prizerebel","GBR","Kingston Upon Thames","82.0.199.44","0.9200","300"
"29912367","6793269","55","15","2","clixsense","PRT",,"213.30.68.70","0.8667","41"
"29925040","C28DD71941A162DA24750D543524A854","100","25","3","neodev","ESP","Madrid","81.45.132.240","0.8800","353"
"30063176","6825425","100","25","3","clixsense","MAR","Berrechid","105.156.241.12","0.8800","400"
"30129659","910288","100","25","2","tremorgames","SRB","Belgrade","178.221.91.197","0.9200","300"
"30154174","6845944","100","25","0","clixsense","MAR","Berrechid","105.156.241.12","1.0000","500"
"30166216","811840","50","14","1","tremorgames","FRA","Tours","93.0.34.53","0.9286","300"
"30230665","CC449F666D02CEF924750D543524A854","100","25","4","neodev","BGD","Dhaka","103.231.162.54","0.8400","333"
"30260697","6868721","30","10","0","clixsense","ITA",,"2.237.137.52","1.0000","15"
"30270750","6870745","60","16","3","clixsense","ESP","Benidorm","88.20.206.162","0.8125","300"
"30301541","6878480","45","13","0","clixsense","MAR",,"160.177.129.120","1.0000","480"
"30320877","37115","20","8","1","elite","PRT","Porto","213.22.156.88","0.8750","300"
"30381282","6899367","100","21","4","clixsense","BIH","Visoko","77.221.24.44","0.8095","30"
"30394474","2361788","100","25","4","clixsense","UKR","Odessa","78.26.147.14","0.8400","300"
"30453294","38899","100","24","1","elite","VNM","Tam Ky","171.251.24.126","0.9583","35"
"30489610","39516","15","7","0","elite","BIH","Sarajevo","188.127.102.227","1.0000","300"
"30571937","E52E785F114E057F0FA9E28369487118","100","25","0","neodev","GRC","Athens","195.134.64.25","1.0000","300"
"30688710","42409","100","25","3","elite","IDN","Jakarta","202.62.17.168","0.8800","300"
"30746277","6995292","25","9","2","clixsense","BIH","Sarajevo","92.36.151.28","0.7778","300"
"30848244","7021532","90","22","5","clixsense","MAR","Settat","41.251.212.76","0.7727","369"
"30848932","44679","10","6","0","elite","IND","Hyderabad","117.195.242.108","1.0000","300"
"30871416","45001","100","25","1","elite","VNM","Hanoi","117.0.173.46","0.9600","300"
"30999225","1CB3870F7C66E15B2BFA95FAD8D0CB36","15","7","0","neodev","BIH","Zenica","5.43.75.43","1.0000","300"
"31001914","7061550","30","10","1","clixsense","MKD",,"92.55.115.129","0.9000","300"
"31018974","7065758","100","25","6","clixsense","BIH","Mostar","77.239.8.176","0.7600","5"
"31027621","2991395","80","20","2","clixsense","IND","Pune","122.15.197.236","0.9000","300"
"31039900","47855","100","25","3","elite","TUR","Istanbul","176.233.25.219","0.8800","300"
"31168578","207602","7","6","1","gifthunterclub","ESP","Madrid","85.51.85.84","0.8333","210"
"31191792","49618","29","10","2","elite","TUR",,"81.213.98.189","0.8000","35"
"31372011","7157239","45","13","1","clixsense","HRV","Zagreb","141.138.28.180","0.9231","300"
"31403204","2F5170E57DA2133BBD9CE4BD64DFB8C1","10","6","1","neodev","BGD","Dhaka","103.231.162.42","0.8333","300"
"31410280","52605","20","7","1","elite","IDN","Jakarta","202.62.16.221","0.8571","300"
"31432360","6433367","10","6","1","clixsense","RUS","Samara","85.140.2.50","0.8333","300"
"31450350","BBB56C0E07864DEF6964A2442E880D82","100","25","2","neodev","ROU","Ploiesti","95.77.99.177","0.9200","332"
"31519358","7195376","25","9","2","clixsense","ITA","Rometta","2.38.147.33","0.7778","13"
"31567092","54655","65","17","2","elite","HRV","Krsan","78.0.122.138","0.8824","300"
"31605010","55287","100","25","1","elite","VNM","Ho Chi Minh City","171.233.27.78","0.9600","300"
"31607024","7218001","60","16","3","clixsense","TUR",,"212.174.165.103","0.8125","300"
"31632154","7225254","100","25","3","clixsense","TUR","Ankara","212.253.53.46","0.8800","315"
"31641410","55870","100","25","4","elite","VNM","Hai Phong","113.162.51.217","0.8400","300"
"31658862","7194127","10","6","1","clixsense","ARE","Dubai","2.49.216.76","0.8333","300"
"31671747","56490","88","22","6","elite","BIH","Sarajevo","77.77.229.32","0.7273","319"
"31713288","7247848","55","15","3","clixsense","SRB","Belgrade","79.175.95.145","0.8000","300"
"31777050","7265640","30","10","1","clixsense","UKR","Kiev","212.90.63.56","0.9000","300"
"31783133","2887271","100","25","2","clixsense","HRV","Zagreb","89.164.229.242","0.9200","350"
"31802651","7273463","35","11","2","clixsense","IND","Bangalore","106.51.232.99","0.8182","300"
"31807945","59290","100","25","4","elite","BIH","Mostar","31.185.127.142","0.8400","371"
"31821164","5678701","100","25","5","clixsense","ESP","Málaga","88.17.90.251","0.8000","300"
"31842759","7283988","14","7","0","clixsense","PHL",,"49.147.163.136","1.0000","280"
"31858799","60043","100","25","2","elite","TUR","Istanbul","62.248.62.22","0.9200","300"
"32029584","EEDF7896DFD0C50493CA06397A287A80","100","25","4","neodev","TTO","Arima","190.213.68.27","0.8400","300"
"32055229","62352","100","25","2","elite","VNM","Tam Ky","171.251.24.126","0.9200","332"
"32067405","1225578","25","9","1","tremorgames","SGP","Singapore","222.164.128.83","0.8889","300"
"32068606","62455","100","25","2","elite","VNM","Da Nang","117.3.5.76","0.9200","315"
"32253860","63845","100","25","3","elite","TUR","Istanbul","88.228.61.62","0.8800","300"
"32297675","7414010","100","25","1","clixsense","RUS","Saratov","88.147.153.5","0.9600","300"
"32326617","64346","60","16","2","elite","BIH","Sarajevo","188.127.106.187","0.8750","300"
"32361898","64741","100","25","2","elite","TUR","Istanbul","85.97.84.107","0.9200","332"
"32420251","1285730","100","25","3","tremorgames","DEU","Essen","78.48.213.107","0.8800","450"
