"crowdflower_id","channel","trust","contributor_id","class","ground_truth_class","comment","account_type","dataset","twitter_user_id","twitter_screen_name"
"911068393","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","678033","heathr"
"911068393","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","678033","heathr"
"911068393","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","678033","heathr"
"911068394","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","806975","mrinaldesai"
"911068394","elite","0.8750","31410280","genuine","genuine",,"genuine accounts","genuine accounts","806975","mrinaldesai"
"911068394","neodev","0.8800","35002805","genuine","genuine",,"genuine accounts","genuine accounts","806975","mrinaldesai"
"911068395","clixsense","0.8400","30381282","spambot","genuine",,"genuine accounts","genuine accounts","887281","Payo"
"911068395","clixsense","0.8500","32568930","spambot","genuine",,"genuine accounts","genuine accounts","887281","Payo"
"911068395","clixsense","0.8000","34818655","genuine","genuine",,"genuine accounts","genuine accounts","887281","Payo"
"911068396","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","1382561","jojoko"
"911068396","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","1382561","jojoko"
"911068396","neodev","0.8000","33155316","genuine","genuine",,"genuine accounts","genuine accounts","1382561","jojoko"
"911068397","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","1813221","Poormojo"
"911068397","neodev","0.8800","20045399","genuine","genuine",,"genuine accounts","genuine accounts","1813221","Poormojo"
"911068397","elite","1.0000","36347557","genuine","genuine",,"genuine accounts","genuine accounts","1813221","Poormojo"
"911068398","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","3888491","LinusEkenstam"
"911068398","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","3888491","LinusEkenstam"
"911068398","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","3888491","LinusEkenstam"
"911068399","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","4121091","jmay11"
"911068399","neodev","0.8800","35002805","genuine","genuine",,"genuine accounts","genuine accounts","4121091","jmay11"
"911068399","elite","1.0000","36347557","genuine","genuine",,"genuine accounts","genuine accounts","4121091","jmay11"
"911068400","clixsense","0.8400","30381282","spambot","genuine",,"genuine accounts","genuine accounts","5856182","fryan"
"911068400","clixsense","0.8500","32568930","spambot","genuine",,"genuine accounts","genuine accounts","5856182","fryan"
"911068400","clixsense","0.8000","34818655","genuine","genuine",,"genuine accounts","genuine accounts","5856182","fryan"
"911068401","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","7004532","hamsterwatch"
"911068401","neodev","0.8000","33155316","genuine","genuine",,"genuine accounts","genuine accounts","7004532","hamsterwatch"
"911068401","neodev","0.8800","35002805","genuine","genuine",,"genuine accounts","genuine accounts","7004532","hamsterwatch"
"911068402","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","8548002","ochaser"
"911068402","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","8548002","ochaser"
"911068402","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","8548002","ochaser"
"911068403","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","9272142","DWCook"
"911068403","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","9272142","DWCook"
"911068403","elite","0.8750","31410280","genuine","genuine",,"genuine accounts","genuine accounts","9272142","DWCook"
"911068404","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","10866252","kannibal"
"911068404","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","10866252","kannibal"
"911068404","neodev","0.8000","33155316","genuine","genuine",,"genuine accounts","genuine accounts","10866252","kannibal"
"911068405","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","11086752","edowoo"
"911068405","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","11086752","edowoo"
"911068405","clixsense","0.8750","35346065","genuine","genuine",,"genuine accounts","genuine accounts","11086752","edowoo"
"911068406","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","11174562","ditorelo"
"911068406","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","11174562","ditorelo"
"911068406","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","11174562","ditorelo"
"911068407","clixsense","0.8000","19629221","genuine","genuine",,"genuine accounts","genuine accounts","11690822","arhemant"
"911068407","clixsense","0.8400","30381282","genuine","genuine",,"genuine accounts","genuine accounts","11690822","arhemant"
"911068407","clixsense","0.9200","32987051","genuine","genuine",,"genuine accounts","genuine accounts","11690822","arhemant"
"911068408","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","12623352","marlas"
"911068408","neodev","0.8571","28535762","unable","genuine","Tweets are protected","genuine accounts","genuine accounts","12623352","marlas"
"911068408","neodev","0.8333","35760060","unable","genuine","Protected","genuine accounts","genuine accounts","12623352","marlas"
"911068409","clixsense","0.8800","9509334","unable","genuine","XinJeisan hasn't tweeted yet.","genuine accounts","genuine accounts","12922462","XinJeisan"
"911068409","clixsense","0.8000","19629221","unable","genuine","No tweets","genuine accounts","genuine accounts","12922462","XinJeisan"
"911068409","clixsense","0.8400","30381282","unable","genuine","No tweets showing","genuine accounts","genuine accounts","12922462","XinJeisan"
"911068410","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","13126372","mattgillard"
"911068410","neodev","0.8571","28535762","genuine","genuine",,"genuine accounts","genuine accounts","13126372","mattgillard"
"911068410","neodev","0.8333","35760060","genuine","genuine",,"genuine accounts","genuine accounts","13126372","mattgillard"
"911068411","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","14196068","javachik"
"911068411","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","14196068","javachik"
"911068411","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","14196068","javachik"
"911068412","neodev","0.8800","20045399","genuine","genuine",,"genuine accounts","genuine accounts","14235705","LonelyBob"
"911068412","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","14235705","LonelyBob"
"911068412","clixsense","0.8000","34818655","genuine","genuine",,"genuine accounts","genuine accounts","14235705","LonelyBob"
"911068413","clixsense","1.0000","30260697","genuine","genuine",,"genuine accounts","genuine accounts","14290542","pastayu"
"911068413","clixsense","0.8462","32908359","genuine","genuine",,"genuine accounts","genuine accounts","14290542","pastayu"
"911068413","clixsense","0.8750","35346065","genuine","genuine",,"genuine accounts","genuine accounts","14290542","pastayu"
"911068414","neodev","1.0000","11060734","genuine","genuine",,"genuine accounts","genuine accounts","14418605","akiraoltar"
"911068414","clixsense","0.8000","19629221","spambot","genuine",,"genuine accounts","genuine accounts","14418605","akiraoltar"
"911068414","clixsense","0.8400","30381282","spambot","genuine",,"genuine accounts","genuine accounts","14418605","akiraoltar"
"911068415","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","14443013","williambanzai7"
"911068415","neodev","0.8800","20045399","genuine","genuine",,"genuine accounts","genuine accounts","14443013","williambanzai7"
"911068415","elite","1.0000","36347557","genuine","genuine",,"genuine accounts","genuine accounts","14443013","williambanzai7"
"911068416","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","14522589","crd"
"911068416","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","14522589","crd"
"911068416","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","14522589","crd"
"911068417","clixsense","0.8400","30381282","genuine","genuine",,"genuine accounts","genuine accounts","14739109","amscraig"
"911068417","clixsense","0.8500","32568930","genuine","genuine",,"genuine accounts","genuine accounts","14739109","amscraig"
"911068417","clixsense","0.8000","34818655","genuine","genuine",,"genuine accounts","genuine accounts","14739109","amscraig"
"911068418","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","14791386","MichaelSeger"
"911068418","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","14791386","MichaelSeger"
"911068418","clixsense","0.8000","34818655","genuine","genuine",,"genuine accounts","genuine accounts","14791386","MichaelSeger"
"911068419","neodev","0.8800","20045399","genuine","genuine",,"genuine accounts","genuine accounts","14980820","nbcwashington"
"911068419","neodev","0.9200","28375885","spambot","genuine",,"genuine accounts","genuine accounts","14980820","nbcwashington"
"911068419","clixsense","0.8000","34818655","genuine","genuine",,"genuine accounts","genuine accounts","14980820","nbcwashington"
"911068420","clixsense","0.9000","31001914","genuine","spambot",,"traditional spambots","traditional spambots #3","15006539","OfficialCodeh"
"911068420","neodev","0.8000","33155316","spambot","spambot",,"traditional spambots","traditional spambots #3","15006539","OfficialCodeh"
"911068420","neodev","0.8800","35002805","spambot","spambot",,"traditional spambots","traditional spambots #3","15006539","OfficialCodeh"
"911068421","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","15046379","pybaubry"
"911068421","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","15046379","pybaubry"
"911068421","clixsense","0.8400","30381282","genuine","genuine",,"genuine accounts","genuine accounts","15046379","pybaubry"
"911068422","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","15224719","Filmdrunk"
"911068422","neodev","0.8800","35002805","genuine","genuine",,"genuine accounts","genuine accounts","15224719","Filmdrunk"
"911068422","elite","1.0000","36347557","genuine","genuine",,"genuine accounts","genuine accounts","15224719","Filmdrunk"
"911068423","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","15321243","RozWolfPR"
"911068423","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","15321243","RozWolfPR"
"911068423","clixsense","0.8400","30381282","genuine","genuine",,"genuine accounts","genuine accounts","15321243","RozWolfPR"
"911068424","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","15448383","inquirerdotnet"
"911068424","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","15448383","inquirerdotnet"
"911068424","clixsense","0.8750","35346065","genuine","genuine",,"genuine accounts","genuine accounts","15448383","inquirerdotnet"
"911068425","clixsense","0.8000","19629221","spambot","spambot",,"traditional spambots","traditional spambots #3","15488734","mjrmjr"
"911068425","clixsense","0.8400","30381282","spambot","spambot",,"traditional spambots","traditional spambots #3","15488734","mjrmjr"
"911068425","clixsense","0.8000","34818655","spambot","spambot",,"traditional spambots","traditional spambots #3","15488734","mjrmjr"
"911068426","neodev","0.8400","18876659","spambot","genuine",,"genuine accounts","genuine accounts","15682749","rosross_nz"
"911068426","neodev","0.8571","28535762","genuine","genuine",,"genuine accounts","genuine accounts","15682749","rosross_nz"
"911068426","neodev","0.8333","35760060","genuine","genuine",,"genuine accounts","genuine accounts","15682749","rosross_nz"
"911068427","neodev","0.8800","20045399","genuine","genuine",,"genuine accounts","genuine accounts","15809964","amyurbach"
"911068427","neodev","0.8000","33155316","genuine","genuine",,"genuine accounts","genuine accounts","15809964","amyurbach"
"911068427","elite","1.0000","36339732","spambot","genuine",,"genuine accounts","genuine accounts","15809964","amyurbach"
"911068428","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","15914878","samjamez"
"911068428","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","15914878","samjamez"
"911068428","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","15914878","samjamez"
"911068429","clixsense","0.9474","26858370","spambot","spambot",,"traditional spambots","traditional spambots #3","15947185","TweetSmarter"
"911068429","clixsense","1.0000","30260697","spambot","spambot",,"traditional spambots","traditional spambots #3","15947185","TweetSmarter"
"911068429","clixsense","0.8750","35346065","genuine","spambot",,"traditional spambots","traditional spambots #3","15947185","TweetSmarter"
"911068430","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","16109017","momwifepreneur"
"911068430","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","16109017","momwifepreneur"
"911068430","clixsense","0.8750","35346065","genuine","genuine",,"genuine accounts","genuine accounts","16109017","momwifepreneur"
"911068431","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","16142914","mistytewest"
"911068431","elite","0.8750","31410280","genuine","genuine",,"genuine accounts","genuine accounts","16142914","mistytewest"
"911068431","neodev","0.8000","33155316","spambot","genuine",,"genuine accounts","genuine accounts","16142914","mistytewest"
"911068432","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","16180264","cindyloughridge"
"911068432","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","16180264","cindyloughridge"
"911068432","clixsense","0.8000","34818655","genuine","genuine",,"genuine accounts","genuine accounts","16180264","cindyloughridge"
"911068433","neodev","0.8800","11057995","spambot","spambot",,"social spambots","social spambots #3","16282004","eckates"
"911068433","neodev","0.8400","18876659","genuine","spambot",,"social spambots","social spambots #3","16282004","eckates"
"911068433","clixsense","0.9000","31001914","genuine","spambot",,"social spambots","social spambots #3","16282004","eckates"
"911068434","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","16408909","itskendall"
"911068434","neodev","0.8400","18876659","genuine","genuine",,"genuine accounts","genuine accounts","16408909","itskendall"
"911068434","clixsense","0.8000","34818655","unable","genuine","protected tweets","genuine accounts","genuine accounts","16408909","itskendall"
"911068435","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","16459227","anonemoose"
"911068435","neodev","0.8400","18876659","spambot","genuine",,"genuine accounts","genuine accounts","16459227","anonemoose"
"911068435","clixsense","0.8400","30381282","spambot","genuine",,"genuine accounts","genuine accounts","16459227","anonemoose"
"911068436","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","16468451","remino"
"911068436","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","16468451","remino"
"911068436","neodev","0.8000","33155316","genuine","genuine",,"genuine accounts","genuine accounts","16468451","remino"
"911068437","neodev","0.9200","11066121","genuine","genuine",,"genuine accounts","genuine accounts","16484437","ChaosSmurf"
"911068437","neodev","0.8400","18876659","spambot","genuine",,"genuine accounts","genuine accounts","16484437","ChaosSmurf"
"911068437","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","16484437","ChaosSmurf"
"911068438","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","16527716","jenjoliver"
"911068438","elite","0.8750","31410280","genuine","genuine",,"genuine accounts","genuine accounts","16527716","jenjoliver"
"911068438","neodev","0.8800","35002805","genuine","genuine",,"genuine accounts","genuine accounts","16527716","jenjoliver"
"911068439","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","16644246","sonjanz"
"911068439","clixsense","0.8000","34818655","genuine","genuine",,"genuine accounts","genuine accounts","16644246","sonjanz"
"911068439","elite","1.0000","36347557","genuine","genuine",,"genuine accounts","genuine accounts","16644246","sonjanz"
"911068440","neodev","0.8800","20045399","genuine","genuine",,"genuine accounts","genuine accounts","16649872","melboone"
"911068440","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","16649872","melboone"
"911068440","clixsense","0.8000","34818655","genuine","genuine",,"genuine accounts","genuine accounts","16649872","melboone"
"911068441","neodev","0.9200","11066121","genuine","spambot",,"social spambots","social spambots #3","16740486","genebailey"
"911068441","neodev","0.8800","20045399","genuine","spambot",,"social spambots","social spambots #3","16740486","genebailey"
"911068441","elite","1.0000","36347557","genuine","spambot",,"social spambots","social spambots #3","16740486","genebailey"
"911068442","neodev","0.8800","11057995","spambot","genuine",,"genuine accounts","genuine accounts","16957615","ShelleyWebbRN"
"911068442","elite","0.8750","31410280","spambot","genuine",,"genuine accounts","genuine accounts","16957615","ShelleyWebbRN"
"911068442","neodev","0.8000","33155316","genuine","genuine",,"genuine accounts","genuine accounts","16957615","ShelleyWebbRN"
"911068443","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","17050665","thesamreynolds"
"911068443","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","17050665","thesamreynolds"
"911068443","elite","0.8750","31410280","genuine","genuine",,"genuine accounts","genuine accounts","17050665","thesamreynolds"
"911068444","clixsense","0.9000","31001914","genuine","genuine",,"genuine accounts","genuine accounts","17127177","MishMatheus"
"911068444","neodev","0.8800","35002805","genuine","genuine",,"genuine accounts","genuine accounts","17127177","MishMatheus"
"911068444","elite","1.0000","36347557","genuine","genuine",,"genuine accounts","genuine accounts","17127177","MishMatheus"
"911068445","neodev","0.8800","11057995","genuine","spambot",,"social spambots","social spambots #3","17132768","patrickghoward"
"911068445","neodev","0.9200","28375885","spambot","spambot",,"social spambots","social spambots #3","17132768","patrickghoward"
"911068445","elite","0.8750","31410280","genuine","spambot",,"social spambots","social spambots #3","17132768","patrickghoward"
"911068446","neodev","0.8800","11057995","genuine","genuine",,"genuine accounts","genuine accounts","17284137","five15design"
"911068446","neodev","0.9200","28375885","genuine","genuine",,"genuine accounts","genuine accounts","17284137","five15design"
"911068446","elite","0.8750","31410280","genuine","genuine",,"genuine accounts","genuine accounts","17284137","five15design"
